ID,name,energy,protein,carbs,sugar,calcium,potassium,sodium,fa_sat,fa_mono,fa_poly,cholest
1,"BUTTER,WITH SALT",717,0.85,0.06,0.06,24,24,643,51.368,21.021,3.043,215
2,"BUTTER,WHIPPED,W/ SALT",718,0.49,2.87,0.06,23,41,583,45.39,19.874,3.331,225
3,"CHEESE,BLUE",353,21.4,2.34,0.5,528,256,1146,18.669,7.778,0.8,75
4,"CHEESE,BRICK",371,23.24,2.79,0.51,674,136,560,18.764,8.598,0.784,94
5,"CHEESE,BRIE",334,20.75,0.45,0.45,184,152,629,17.41,8.013,0.826,100
6,"CHEESE,CAMEMBERT",300,19.8,0.46,0.46,388,187,842,15.259,7.023,0.724,72
7,"CHEESE,CHEDDAR",404,22.87,3.09,0.48,710,76,653,18.867,9.246,1.421,99
8,"CHEESE,COLBY",394,23.76,2.57,0.52,685,127,604,20.218,9.28,0.953,95
9,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,3.38,2.67,83,104,364,1.718,0.778,0.123,17
10,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,4.61,2.38,53,90,344,2.311,1.036,0.124,13
11,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,6.66,1.85,86,137,372,0.169,0.079,0.003,7
12,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81,10.45,4.76,4,111,125,308,1.235,0.516,0.083,12
13,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,2.72,2.72,61,86,406,0.645,0.291,0.031,4
14,"CHEESE,CREAM",350,6.15,5.52,3.76,97,132,314,20.213,8.907,1.483,101
15,"CHEESE,EDAM",357,24.99,1.43,1.43,731,188,812,17.572,8.125,0.665,89
16,"CHEESE,FETA",264,14.21,4.09,4.09,493,62,917,14.946,4.623,0.591,89
17,"CHEESE,FONTINA",389,25.6,1.55,1.55,550,64,800,19.196,8.687,1.654,116
18,"CHEESE,GOUDA",356,24.94,2.22,2.22,700,121,819,17.614,7.747,0.657,114
19,"CHEESE,GRUYERE",413,29.81,0.36,0.36,1011,81,714,18.913,10.043,1.733,110
20,"CHEESE,LIMBURGER",327,20.05,0.49,0.49,497,128,800,16.746,8.606,0.495,90
21,"CHEESE,MONTEREY",373,24.48,0.68,0.5,746,81,600,19.066,8.751,0.899,89
22,"CHEESE,MOZZARELLA,WHL MILK",300,22.17,2.19,1.03,505,76,627,13.152,6.573,0.765,79
23,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",318,21.6,2.47,1.01,575,75,710,15.561,7.027,0.778,89
24,"CHEESE,MOZZARELLA,PART SKIM MILK",254,24.26,2.77,1.13,782,84,619,10.114,4.51,0.472,64
25,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",295,23.75,5.58,1.9,697,188,666,11.295,5.741,1.019,64
26,"CHEESE,MUENSTER",368,23.41,1.12,1.12,717,134,628,19.113,8.711,0.661,96
27,"CHEESE,NEUFCHATEL",253,9.15,3.59,3.19,117,152,334,12.79,5.784,0.97,74
28,"CHEESE,PARMESAN,GRATED",420,28.42,13.91,0.07,853,180,1804,15.371,7.13,1.386,86
29,"CHEESE,PARMESAN,HARD",392,35.75,3.22,0.8,1184,92,1376,16.41,7.515,0.569,68
30,"CHEESE,PORT DE SALUT",352,23.78,0.57,0.57,650,136,534,16.691,9.338,0.729,123
31,"CHEESE,PROVOLONE",351,25.58,2.14,0.56,756,138,876,17.078,7.393,0.769,69
32,"CHEESE,RICOTTA,WHOLE MILK",174,11.26,3.04,0.27,207,105,84,8.295,3.627,0.385,51
33,"CHEESE,RICOTTA,PART SKIM MILK",138,11.39,5.14,0.31,272,125,99,4.927,2.314,0.26,31
34,"CHEESE,ROMANO",387,31.8,3.63,0.73,1064,86,1433,17.115,7.838,0.593,104
35,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",366,18.13,4.78,2.26,1045,132,1671,18.057,8.236,1.286,100
36,"CHEESE,PAST PROCESS,PIMENTO",375,22.13,1.73,0.62,614,162,915,19.663,8.937,0.988,94
37,"CHEESE,PAST PROCESS,SWISS",334,24.73,2.1,1.23,772,216,1370,16.045,7.046,0.622,85
38,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330,16.86,8.56,5.59,682,255,1284,15.057,6.846,1.049,98
39,"CHEESE SPRD,PAST PROCESS,AMERICAN",290,16.41,8.73,7.32,562,242,1625,13.327,6.219,0.624,55
40,"CREAM,FLUID,HALF AND HALF",123,3.13,4.73,4.13,107,132,61,7.032,3.32,0.554,35
41,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",191,2.96,2.82,3.67,91,136,72,10.176,4.525,0.789,59
42,"CREAM,FLUID,LT WHIPPING",292,2.17,2.96,2.96,69,97,34,19.337,9.093,0.884,111
43,"CREAM,FLUID,HVY WHIPPING",340,2.84,2.74,2.92,66,95,27,23.032,9.101,1.57,113
44,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,12.49,8,101,147,8,13.831,6.418,0.825,76
45,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,4.26,0.16,104,129,89,7.47,3.466,0.446,39
46,"CREAM,SOUR,CULTURED",198,2.44,4.63,3.41,101,125,31,10.14,4.594,0.8,59
47,EGGNOG,88,4.55,8.05,8.05,130,165,54,2.591,1.302,0.198,59
48,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178,3.25,4.68,4.68,113,162,48,13.272,1.958,0.468,5
49,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63,3.33,4.74,4.74,128,139,57,3.101,0.1,0.01,2
50,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194,3.61,17.13,17.13,90,151,66,10.684,0.843,0.201,10
51,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61,3.15,4.8,5.05,113,132,43,1.865,0.812,0.195,10
52,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50,3.3,4.8,5.06,120,140,47,1.257,0.56,0.073,8
53,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56,3.95,5.49,5.26,143,182,59,1.232,0.572,0.074,8
54,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42,3.37,4.99,5.2,125,150,44,0.633,0.277,0.035,5
55,"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,5.09,122,156,42,0.056,0.022,0.003,2
56,"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37,3.57,5.02,5.02,129,171,53,0.162,0.065,0.009,2
57,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40,3.31,4.79,4.79,116,151,190,0.548,0.254,0.033,4
58,"MILK,LO NA,FLUID",61,3.1,4.46,4.46,101,253,3,2.154,0.999,0.128,14
59,"MILK,DRY,WHL,W/ ADDED VITAMIN D",496,26.32,38.42,38.42,912,1330,371,16.742,7.924,0.665,97
60,"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362,36.16,51.98,51.98,1257,1794,535,0.499,0.201,0.03,20
61,"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358,35.1,52.19,52.19,1231,1705,549,0.467,0.187,0.028,18
62,"MILK,BUTTERMILK,DRIED",387,34.3,49,49,1184,1592,517,3.598,1.669,0.215,69
63,"MILK,CND,COND,SWTND",321,7.91,54.4,54.4,284,371,127,5.486,2.427,0.337,34
64,"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134,6.81,10.04,10.04,261,303,106,4.591,2.335,0.245,29
65,"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78,7.55,11.35,11.35,290,332,115,0.121,0.062,0.006,4
66,"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83,3.17,10.34,9.54,112,167,60,2.104,0.99,0.124,12
67,"MILK,CHOC,FLUID,COMM,RED FAT",76,2.99,12.13,9.55,109,169,66,1.177,0.455,0.089,8
68,"MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",62,3.46,9.86,9.94,129,172,65,0.584,0.541,0.095,5
69,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77,3.52,10.74,9.66,114,197,44,1.431,0.677,0.084,8
70,"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69,3.56,4.45,4.45,134,204,50,2.667,1.109,0.149,11
71,"MILK,HUMAN,MATURE,FLUID",70,1.03,6.89,6.89,32,51,17,2.009,1.658,0.497,14
72,"MILK SHAKES,THICK CHOC",119,3.05,21.15,20.85,132,224,111,1.681,0.78,0.1,11
73,"MILK SHAKES,THICK VANILLA",112,3.86,17.75,17.75,146,183,95,1.886,0.875,0.113,12
74,"WHEY,ACID,FLUID",24,0.76,5.12,5.12,103,143,48,0.057,0.025,0.004,1
75,"WHEY,ACID,DRIED",339,11.73,73.45,73.45,2054,2289,968,0.342,0.149,0.021,3
76,"WHEY,SWEET,FLUID",27,0.85,5.14,5.14,47,161,54,0.23,0.1,0.011,2
77,"WHEY,SWEET,DRIED",353,12.93,74.46,74.46,796,2080,1079,0.684,0.297,0.034,6
78,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61,3.47,4.66,4.66,121,155,46,2.096,0.893,0.092,13
79,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63,5.25,7.04,7.04,183,234,70,1,0.426,0.044,6
80,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56,5.73,7.68,7.68,199,255,77,0.116,0.049,0.005,2
81,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85,4.93,13.8,13.8,171,219,66,0.806,0.343,0.036,5
82,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99,3.98,18.64,18.64,138,177,53,0.742,0.316,0.033,5
83,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102,4.37,19.05,19.05,152,195,58,0.697,0.297,0.031,4
84,"EGG,WHL,RAW,FRSH",143,12.56,0.72,0.37,56,138,142,3.126,3.658,1.911,372
85,"EGG,YOLK,RAW,FRSH",322,15.86,3.59,0.56,129,109,48,9.551,11.738,4.204,1085
86,"EGG,YOLK,RAW,FRZ,PAST",296,15.53,0.81,0.16,134,121,67,8.615,9.956,4.827,991
87,"EGG,YOLK,RAW,FRZ,SUGARED,PAST",307,13.87,10.95,10.3,124,105,70,7.11,8.885,3.856,917
88,"EGG,WHL,CKD,FRIED",196,13.61,0.83,0.4,62,152,207,4.323,6.182,3.251,401
89,"EGG,WHL,CKD,HARD-BOILED",155,12.58,1.12,1.12,50,126,124,3.267,4.077,1.414,373
90,"EGG,WHOLE,COOKED,OMELET",154,10.57,0.64,0.31,48,117,155,3.319,4.843,2.712,313
91,"EGG,WHL,CKD,POACHED",143,12.51,0.71,0.37,56,138,297,3.113,3.643,1.904,370
92,"EGG,WHL,CKD,SCRMBLD",149,9.99,1.61,1.39,66,132,145,3.331,4.441,2.429,277
93,"EGG,WHL,DRIED",592,48.05,1.13,0.56,244,540,476,15.069,16.726,8.314,1630
94,"EGG,YOLK,DRIED",669,33.63,0.66,0.23,289,264,149,20.334,23.377,10.32,2307
95,"EGG,DUCK,WHOLE,FRESH,RAW",185,12.81,1.45,0.93,64,222,146,3.681,6.525,1.223,884
96,"EGG,GOOSE,WHOLE,FRESH,RAW",185,13.87,1.35,0.94,60,210,138,3.595,5.747,1.672,852
97,"EGG,QUAIL,WHOLE,FRESH,RAW",158,13.05,0.41,0.4,64,132,141,3.557,4.324,1.324,844
98,"EGG SUBSTITUTE,POWDER",444,55.5,21.8,21.8,326,744,800,3.766,5.341,1.683,572
99,"BUTTER,WITHOUT SALT",717,0.85,0.06,0.06,24,24,11,50.489,23.43,3.01,215
100,"CHEESE,PARMESAN,SHREDDED",415,37.86,3.41,0.9,1253,97,1696,17.37,8.734,0.661,72
101,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34,3.37,4.96,5.09,122,156,42,0.051,0.021,0.003,2
102,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362,36.16,51.98,51.98,1257,1794,535,0.499,0.2,0.03,20
103,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358,35.1,52.19,52.19,1231,1705,549,0.47,0.19,0.03,18
104,"CHEESE,GOAT,HARD TYPE",452,30.52,2.17,2.17,895,48,423,24.609,8.117,0.845,105
105,"CHEESE,GOAT,SEMISOFT TYPE",364,21.58,0.12,0.12,298,158,415,20.639,6.808,0.709,79
106,"EGG,YOLK,RAW,FRZ,SALTED,PAST",275,14.07,1.77,0.07,113,111,3487,7.159,9.07,3.733,912
107,"CHEESE SAU,PREP FROM RECIPE",197,10.33,5.48,0.19,311,142,493,8.034,4.735,1.397,38
108,"CHEESE,MEXICAN,QUESO ANEJO",373,21.44,4.63,4.63,680,87,1131,19.033,8.528,0.901,105
109,"CHEESE,MEXICAN,QUESO ASADERO",356,22.6,2.87,2.87,661,86,705,17.939,8.038,0.85,105
110,"CHEESE,MEXICAN,QUESO CHIHUAHUA",374,21.56,5.56,5.56,651,52,617,18.843,8.443,0.892,105
111,"CHEESE,LOFAT,CHEDDAR OR COLBY",173,24.35,1.91,0.52,415,66,873,4.342,2.082,0.222,21
112,"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398,24.35,1.91,0.49,703,112,21,20.768,9.189,0.972,100
113,"EGG,WHL,RAW,FRZ,PAST",147,12.33,1.01,0.25,62,135,128,3.382,3.905,1.892,372
114,"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50,3.3,4.8,5.06,120,140,47,1.257,0.56,0.073,8
115,"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42,3.37,4.99,5.2,125,150,44,0.633,0.277,0.035,5
116,"SOUR CREAM,REDUCED FAT",181,7,7,0.3,141,211,70,8.7,4.1,0.5,35
117,"SOUR CREAM,LIGHT",136,3.5,7.1,0.22,141,212,83,6.6,3.1,0.4,35
118,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282,27.2,2,0.58,905,93,725,11.58,5.02,0.75,56
119,"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43,3.86,7.5,7.5,143,177,59,0.116,0.049,0.005,2
120,"PARMESAN CHS TOPPING,FAT FREE",370,40,40,1.5,800,600,1150,3.11,1.446,0.186,20
121,"CHEESE,CREAM,FAT FREE",105,15.69,7.66,5.48,351,278,702,0.644,0.25,0.057,12
122,"CREAM,HALF & HALF,FAT FREE",59,2.6,9,5,96,206,100,0.841,0.384,0.052,5
123,REDDI WIP FAT FREE WHIPPED TOPPING,149,3,25,16,108,108,72,2.869,1.25,0.299,16
124,"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78,2.99,12.13,9.55,194,123,66,1.177,0.455,0.089,8
125,"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105,4.86,18.6,2.9,152,194,58,0.909,0.387,0.04,6
126,"CHEESE,PROVOLONE,RED FAT",274,24.7,3.5,0.55,756,138,615,11.3,4.89,0.51,55
127,"CHEESE,MEXICAN,BLEND,RED FAT",282,24.69,3.41,0.56,1146,93,776,11.58,5.02,0.75,62
128,"EGG MIX,USDA CMDTY",555,35.6,23.97,2.46,171,373,576,10.305,13.745,7.555,975
129,"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61,3.15,4.78,5.05,113,132,43,1.865,0.812,0.195,10
130,"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496,26.32,38.42,38.42,912,1330,371,16.742,7.924,0.665,97
131,"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135,6.81,10.04,10.04,261,303,106,4.591,2.335,0.245,29
132,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240,17.6,10.6,8.02,529,330,1201,8.85,4.13,0.41,53
133,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99,3.98,18.64,18.64,138,177,53,0.742,0.316,0.033,5
134,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102,4.37,19.05,19.05,152,195,58,0.697,0.297,0.031,4
135,"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95,4.4,19,19,152,194,58,0.119,0.05,0.016,2
136,"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105,4.86,18.6,2.9,152,194,58,0.909,0.387,0.04,6
137,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85,4.93,13.8,13.8,171,219,66,0.806,0.343,0.036,5
138,"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43,3.86,7.5,7.5,143,177,59,0.116,0.049,0.005,2
139,"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411,45.71,18.5,5.71,500,1129,329,1.553,12.105,1.77,21
140,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396,50,22,4,1200,840,250,1.087,8.474,1.239,10
141,DULCE DE LECHE,315,6.84,55.35,49.74,251,350,129,4.534,2.143,0.375,29
142,"CHEESE,DRY WHITE,QUESO SECO",325,24.51,2.04,0.55,661,116,1808,13.718,6.418,1.244,78
143,"CHEESE,FRSH,QUESO FRESCO",299,18.09,2.98,2.32,566,129,751,12.94,5.966,1.106,69
144,"CHEESE,WHITE,QUESO BLANCO",310,20.38,2.53,1.76,690,126,704,13.661,6.459,1.149,70
145,"MILK,BTTRMLK,FLUID,WHL",62,3.21,4.88,4.88,115,135,105,1.899,0.827,0.198,11
146,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86,4.93,13.8,5.43,171,219,66,0.752,0.313,0.035,5
147,"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104,4.4,19.7,12.61,159,339,81,0.488,0.205,0.03,4
148,"ICE CRM,SOFT SERVE,CHOC",222,4.1,22.2,21.16,131,177,61,7.46,3.49,0.46,91
149,"ICE CRM,BAR OR STK,CHOC COVERED",331,4.1,24.5,18.3,119,305,68,13.202,6.387,3.257,28
150,ICE CRM SNDWCH,237,4.29,37.14,18.57,86,115,129,2.317,2.661,2.272,21
151,ICE CRM COOKIE SNDWCH,240,3.7,39.6,21.3,73,68,162,1.663,4.15,0.847,6
152,"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354,5.21,34.38,25,63,222,94,11.458,7.34,1.657,21
153,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186,4.29,39.64,17.86,30,41,146,0.821,0.942,0.805,7
